"File exported from UTC Confirmations Portal on December 10, 2020, 12:06 EST"

Supplier Code:,0000164499
Supplier Name:,TRIPLE INC
User Email:,pkarchner@tripleinc.com
* Date Format: MM/DD/YYYY,"List Separator: Comma (,)"

** INSTRUCTIONS:,"Please only edit Columns M-O below row 12. All columns must be present and do not duplicate or delete columns. Any rows other than 11 and 12 may be  removed. Additional columns will be ignored as long as they don't duplicate a required column header. Naming of the column header row cannot be modified. The ordering of columns is flexible. When importing your file back into the Confirmations screen, please make sure all cells have a value matching the exported format. Date format must be MM/DD/YYYY."
** REASON CODES:,Capacity Issue,Import/ Export Control,Input Material (Vendor Supplied),Machine Down Time,Producibility Technical,Quality,Supplier Other,Natural Disaster,Commercial Issues  (Ex: PO terms/pricing),UTC Supplied Input Material,UTC Receiving/ Shipping,UTC Schedule under lead time / change,UTC Transportation / Logistics,UTC Engineering,UTC Other

PRIORITY,PRODUCT_ID,OPEN_QTY,ORDER_TYPE,ORDER_ID,ITEM_ID,SCH_LINE,REVISION_LVL,LOCATION,REQ_DATE,OTD_DATE,COMMIT_STAT,COMMIT_DATE,REASON_CODE,COMMENTS,CONTRACT_DPAS,CHANGE_DESCRIPTION,LAST_SUPPLIER_UPDATE
Priority,Part #,Open Qty.,Type,Order #,Item #,Schedule Line,Revision Level,Location,Request Date,OTD Date,Commit Status,Commit Date,Reason Code,Comments,Contract|DPAS|GSI|QTY,Change description,Last update by supplier

DPAS,1722380,1,ZRWK,0009739122,20,1,A,2719,02/02/2021,02/02/2021,COMMITTED,02/02/2021,Quality,returns,N00019-18-C-1021|DO-A1|N|1.0||,Commit date has been provided. Thank you!,2020-12-08
DPAS,1722380,1,ZRWK,0009739122,40,1,A,2719,02/09/2021,02/09/2021,COMMITTED,02/09/2021,Quality,returns,N00019-18-C-1021|DO-A1|N|1.0||,Commit date has been provided. Thank you!,2020-12-08
DPAS,1722380,1,ZRWK,0009739122,60,1,A,2719,02/09/2021,02/09/2021,COMMITTED,02/09/2021,Quality,returns,N00019-18-C-1021|DO-A1|N|1.0||,Commit date has been provided. Thank you!,2020-12-08
DPAS,1722380,2,ZRWK,0009739122,80,1,A,2719,02/09/2021,02/09/2021,COMMITTED,02/09/2021,Quality,returns,N00019-18-C-1021|DO-A1|N|2.0||,Commit date has been provided. Thank you!,2020-12-08
,806834-1,2,ZPO,0011509110,10,1,E,2710,03/17/2022,03/17/2022,COMMITTED,03/17/2022,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,806834-1,1,ZPO,0011509110,20,1,E,2710,08/27/2022,08/27/2022,COMMITTED,08/27/2022,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,806834-1,1,ZPO,0011509110,30,1,E,2710,07/11/2022,07/11/2022,COMMITTED,07/11/2022,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,806834-1,1,ZPO,0011509110,40,1,E,2710,02/10/2022,02/10/2022,COMMITTED,02/10/2022,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
